sku,name,weight,status,default_price,price_USD,price_GBP,tax_code,supplier,channel
EQYBS03744-kvj6-28,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-29,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-30,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-31,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-32,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-33,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-34,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-36,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-38,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-kvj6-40,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-bsg6-28,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-bsg6-29,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-bsg6-30,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
EQYBS03744-bsg6-31,"Crypt Scallop 20"" Boardshorts",0.5,enabled,50.5,59.5,45,DE_high,Quiksilver,sales_channel_de_munchen;sales_channel_de_berlin;sales_channel_de_frankfurt;sales_channel_us_webshop;sales_channel_de_webshop;sales_channel_fr_webshop;sales_channel_uk_webshop
